content,score,at,appVersion
ordered cake for sister b'day after 30 minutes they called and said cake is not available they can say this within 5 minutes also they spoiled my surprise.,1,2025-09-20 16:11:28,19.1.4
nice,5,2025-09-20 16:11:05,19.1.4
Nice,5,2025-09-20 16:09:55,19.1.6
very nice,5,2025-09-20 16:09:54,
I ordered veg order and I got non veg order. It was very bad from .... I deleted app..,1,2025-09-20 16:09:41,19.1.6
gd user friendly appreciated,4,2025-09-20 16:09:23,19.1.4
supar,5,2025-09-20 16:08:51,19.1.4
good,4,2025-09-20 16:07:12,19.1.4
nice app,5,2025-09-20 16:06:35,19.1.6
delivery partner is very bad 🤬😡,1,2025-09-20 16:06:30,17.3.8
good,5,2025-09-20 16:06:24,
good experience,5,2025-09-20 16:05:56,
good service,4,2025-09-20 16:05:24,
I got gold in 1 rupee,5,2025-09-20 16:05:14,19.1.4
too good,5,2025-09-20 16:04:42,
nice,5,2025-09-20 16:04:38,19.0.3
so sweet all the rider and be careful 😍,5,2025-09-20 16:04:03,19.1.6
I am your loyal customer first time I want to cancel order but app refused to cancel it. I am uninstall your app . And never order any thing from your platform 🤬🤬🤬🤬🤬,1,2025-09-20 16:03:13,19.1.4
👍,4,2025-09-20 16:02:30,19.1.4
"customer support is the worst seen till, date... waiting for my refund for 7 days now, and they can't even give the transaction id under which they have completed the refund...",1,2025-09-20 15:58:01,
It's like the best and when l kinda feel hungry without a second thought l just order from zomato and it delivers my food in minutes love it 😋,5,2025-09-20 15:57:00,19.1.6
woww,5,2025-09-20 15:56:11,19.1.4
excellent,5,2025-09-20 15:56:03,19.1.4
"zomato is a fraud company, no customer support. recently i ordered one chicken biryani but I didn't receive chicken & alu. for that I'm trying to get in touch with customer support but no helpline & no chat support helping me on this.",1,2025-09-20 15:55:50,19.1.4
"Not responsible for quality of food. Not responsible for late delivery of food. Not responsible for anything but still charge service charge, delivery charge, convenience charge, surge charge.",1,2025-09-20 15:55:27,19.1.6
nice and yummy,5,2025-09-20 15:53:42,19.1.6
horrible services by zomato its going worst day after day one order was not delivered and zomato refused to take ownership for that and gave no refund. this they did shamefully inspite court telling them they cant do it this shows how shamefull and irresponsible they are and they are. they dont even respect court orders and are cheating customers. i have everything on mail. felt like suing them for this but stopped cause common man kar bhi kya hi sakta hai,1,2025-09-20 15:53:22,19.1.4
overall good 👍,5,2025-09-20 15:53:15,19.1.4
superb app and superb service,5,2025-09-20 15:52:49,
good 😊,5,2025-09-20 15:52:10,19.1.4
best,5,2025-09-20 15:51:35,
Best app for food delivery with transparent and clear prices.,5,2025-09-20 15:51:34,19.1.6
"amazing experience,good quality food and handling with care type delivery person",5,2025-09-20 15:51:34,19.1.6
"Extremely poor customer service, AI chatbot gives textbook answer for the food quality related issues.",1,2025-09-20 15:51:14,19.1.6
Superb,5,2025-09-20 15:51:12,19.1.4
nice,5,2025-09-20 15:51:08,
good,5,2025-09-20 15:50:43,
good,5,2025-09-20 15:50:33,18.9.7
very best for food and also the delivery partners are really nice till now and yeah very cooperative app with lots of benefits and it helps us with our appetite yoooo,5,2025-09-20 15:50:08,19.1.6
good,5,2025-09-20 15:45:55,19.1.4
good,5,2025-09-20 15:45:41,19.1.4
food is good with good quantity.,5,2025-09-20 15:45:04,19.1.4
"i had a pretty good experience with Zomato with the rates and offers going on for gold members as well, which helped me save money on many restaurants and orders, and the customer service was even exceptional and too good as a reputed service brand.",5,2025-09-20 15:43:35,19.1.6
જોરદાર superb 👌,5,2025-09-20 15:43:26,19.1.4
Nice,5,2025-09-20 15:43:25,19.1.6
your food is very best ☺️,5,2025-09-20 15:42:57,19.1.6
Ordering food from Zamato is a costly affair. Restaurant menus are different from Zomato menu.,3,2025-09-20 15:42:54,19.1.6
😘😍,5,2025-09-20 15:42:53,19.1.4
very good service,5,2025-09-20 15:42:10,19.1.6
best,5,2025-09-20 15:41:17,
easy to use and find there is no copyright,4,2025-09-20 15:40:37,
when ever I place any order it appears very tasty food with grate offers it's pocket friendly.... tummy full.....,5,2025-09-20 15:39:19,19.1.4
"i complained about getting half biryani instead of full but zomato doesn't look into my issue it's total loss restaurant is al zaika, industrial area, kota",1,2025-09-20 15:38:50,
",♥️",5,2025-09-20 15:38:43,19.1.6
like the app and most go to for ordering,5,2025-09-20 15:38:34,
Good customer support and service,5,2025-09-20 15:37:11,
good 👍,5,2025-09-20 15:35:36,
food Hotel and Tasty,5,2025-09-20 15:34:08,
terrible customer service... not at all replying properly..,1,2025-09-20 15:33:24,
Easy to book,5,2025-09-20 15:33:20,19.1.6
good app,5,2025-09-20 15:33:07,
super,5,2025-09-20 15:31:57,19.1.4
super delivery,5,2025-09-20 15:31:52,19.1.6
good,5,2025-09-20 15:30:50,19.1.6
Not taking action any fake restaurant but take action against customer.,1,2025-09-20 15:28:17,19.1.6
good,5,2025-09-20 15:28:03,19.1.4
"I've had a bad experience here at Zomato as they were accepting Cash-on-Delivery for too long but suddenly without assigning any reason they'd stopped accepting my food order on C.O.D.method. I've never accepted any food order from Zomato without making payments either through cash / UPI. Seeing this abrupt methodology by the Zomato, unfortunately I've decided not to place an order.This uncanny & unwarranted behavior of Zomato management shouldn't be gone unheard-of by their esteemed customers.",4,2025-09-20 15:27:22,19.1.0
it's good I think if I had to choose between zomato or something else like it i will go with zomato,4,2025-09-20 15:26:42,
👌,5,2025-09-20 15:25:26,
awesome work,5,2025-09-20 15:24:49,19.1.6
I ordered 2 chocolate mousse but they send me I mousse and one donut. when I want to reach them they try to apologise with a gift coupan worth of the donut. the interesting fact is that when I try to order my next order to use the coupon they don't gave me the coupon. it's a big scam I must say.dont do this kind of dealing.,1,2025-09-20 15:24:45,
good,4,2025-09-20 15:24:11,19.1.6
Excellent service delivery,5,2025-09-20 15:23:54,
simply good,5,2025-09-20 15:23:30,
Nice,5,2025-09-20 15:21:04,19.1.4
awesome app but .........,5,2025-09-20 15:20:44,19.1.4
nice experience,4,2025-09-20 15:20:25,19.1.4
👍 good,5,2025-09-20 15:19:23,19.1.6
good service,4,2025-09-20 15:19:09,19.1.4
iam empress,5,2025-09-20 15:18:56,
"this app does give cash on delivery, and charging more than 150rs for delivery",3,2025-09-20 15:18:43,19.1.6
good,5,2025-09-20 15:17:24,19.1.0
Very convenient app!!,5,2025-09-20 15:17:17,
Many options and quick service !,5,2025-09-20 15:16:56,19.1.6
the app gives a variety of dishes and from conti to Asian and fusions too .💯😤✨,5,2025-09-20 15:15:35,19.1.6
good experience,5,2025-09-20 15:14:55,19.1.2
the discount are really awesome. for bulk ordering it is the best app . great coupons,5,2025-09-20 15:14:48,19.1.4
good,5,2025-09-20 15:14:08,19.1.6
Very good,5,2025-09-20 15:13:53,19.1.4
good enjoy eating,5,2025-09-20 15:13:45,19.1.4
best food delivery app,4,2025-09-20 15:13:08,19.1.6
nice,4,2025-09-20 15:11:55,19.1.4
extremely user friendly,5,2025-09-20 15:11:10,
super good👍,5,2025-09-20 15:10:25,19.1.6
No more stale and cold orders!,3,2025-09-20 15:10:08,13.2.4
love the app,5,2025-09-20 15:06:47,19.1.4
Nice,5,2025-09-20 15:06:41,19.1.6
👍🎉,5,2025-09-20 15:05:02,19.1.6
overall good,4,2025-09-20 15:04:44,19.1.6
good 😊😊😊 Thank you Zomato for fulfilling my cravings,5,2025-09-20 15:03:40,19.1.4
"Good, keep it up",5,2025-09-20 15:02:47,19.1.6
very good app,5,2025-09-20 15:02:04,19.1.4
Awesome,5,2025-09-20 14:59:25,19.1.6
too much offer's,5,2025-09-20 14:58:35,19.1.6
good service,4,2025-09-20 14:58:14,18.8.2
very good,5,2025-09-20 14:57:52,19.1.6
It was a very good experience. I keep ordering from Zomato regularly. You guys should give me more discount. It was a very good experience.,4,2025-09-20 14:57:36,19.1.6
very Good,4,2025-09-20 14:57:17,19.1.6
Very effective 👌,5,2025-09-20 14:56:40,19.1.6
such a wonderful app which is easy and a bit interested in my expenditure always pops some lovengly notification which tends me to order something 😋,5,2025-09-20 14:56:16,19.1.4
very good,5,2025-09-20 14:55:02,19.1.6
nice 🙂,5,2025-09-20 14:53:30,19.1.6
masst,4,2025-09-20 14:53:27,19.1.0
